,Store Name,Address,Zip,New status,Last updated,Location
168,Target,6525 W Diversey Ave,60707,OPEN,06/05/2020 01:21:00 PM,POINT (-87.787135 41.930987)
169,Aldi,10532 S Indianapolis Ave,60617,OPEN,06/05/2020 01:21:00 PM,POINT (-87.525607 41.703728)
170,Costco,7300 S Cicero Ave,60629,OPEN,06/05/2020 01:21:00 PM,POINT (-87.741835 41.760134)
171,Target,2650 N CLARK ST,60614,OPEN,06/10/2020 12:00:00 AM,POINT (-87.64393700000001 41.930805)
172,Walmart,4626 W Diversey Ave,60639,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.74243 41.931608)
173,Mariano's Fresh Market,1615 S Clark Street,60616,OPEN,06/05/2020 01:21:00 PM,POINT (-87.630264 41.859325)
174,Aldi,4500 N Broadway St,60640,OPEN,06/04/2020 03:00:00 PM,POINT (-87.65629 41.963599)
175,Aldi,8500 S Holland Rd,60620,OPEN,06/05/2020 01:21:00 PM,POINT (-87.631939 41.73934)
176,Whole Foods Market,6009 N Broadway St,60660,OPEN,06/04/2020 03:00:00 PM,POINT (-87.660244 41.991499000000005)
177,Armitage Produce,3334 W. Armitage Ave.,60647,OPEN,06/10/2020 12:00:00 AM,POINT (-87.710835 41.917361)
178,Que Rico Supermercado,3552 W ARMITAGE AVE,60647,OPEN,06/10/2020 12:00:00 AM,POINT (-87.715646 41.917317)
179,Jewel - Osco,5320 S Pulaski Rd,60632,OPEN,06/03/2020 05:00:00 PM,POINT (-87.723312 41.795953)
180,Clarendon Food Mart,4183 N CLARENDON AVE,60613,OPEN,06/10/2020 12:00:00 AM,POINT (-87.649781 41.958174)
181,Trader Joe's,1840 N CLYBOURN AVE,60614,OPEN,06/10/2020 12:00:00 AM,POINT (-87.654343 41.914418)
182,J Freshmart,2411 S WALLACE ST,60616,OPEN,06/10/2020 12:00:00 AM,POINT (-87.642075 41.848785)
183,Plum Market,1233 N WELLS ST,60610,OPEN,06/10/2020 12:00:00 AM,POINT (-87.634502 41.904751)
184,Jewel - Osco,4250 N Lincoln Ave,60618,OPEN,06/03/2020 05:00:00 PM,POINT (-87.682232 41.959156)
185,First Choice Market,3019 E 91ST ST,60617,OPEN,06/10/2020 12:00:00 AM,POINT (-87.550363 41.73008)
186,La Feria Grocery,9704 S COMMERCIAL AVE,60617,OPEN,06/10/2020 12:00:00 AM,POINT (-87.55104 41.718849)
187,Target,1940 W 33rd St,60608,OPEN,06/10/2020 12:00:00 AM,POINT (-87.674594 41.834066)
188,Tony's Finer Foods,2500 N Central Avenue,60639,OPEN,06/04/2020 03:00:00 PM,POINT (-87.76607 41.926441)
189,Jewel - Osco,550 N State St,60654,OPEN,06/03/2020 05:00:00 PM,POINT (-87.628072 41.89219)
190,Jewel - Osco,4734 N Cumberland Ave Apt N,60656,OPEN,06/03/2020 05:00:00 PM,POINT (-87.836778 41.965579)
191,Tai Nam Food Market,4925 N BROADWAY,60640,OPEN,06/10/2020 12:00:00 AM,POINT (-87.659695 41.972167)
192,Jewel - Osco,1224 S Wabash Ave,60605,OPEN,06/03/2020 05:00:00 PM,POINT (-87.6258 41.866345)
193,Tony's Finer Foods,3607 W Fullerton,60647,OPEN,06/04/2020 03:00:00 PM,POINT (-87.717603 41.924571)
194,Trader Joe's,1528 E 55TH ST,60615,OPEN,06/10/2020 12:00:00 AM,POINT (-87.588351 41.795263)
195,Jewel - Osco,4355 N Sheridan Rd,60613,OPEN,06/03/2020 05:00:00 PM,POINT (-87.654722 41.961462)
196,Trader Joe's,1147 S WABASH AVE,60605,OPEN,06/10/2020 12:00:00 AM,POINT (-87.625838 41.86804)
197,Jewel - Osco,2550 N Clybourn Ave,60614,OPEN,06/03/2020 05:00:00 PM,POINT (-87.67355 41.928315)
198,Jewel - Osco,4729 N Central Ave,60630,OPEN,06/03/2020 05:00:00 PM,POINT (-87.767429 41.966981)
199,Jewel - Osco,4042 W Foster Ave,60630,OPEN,06/03/2020 05:00:00 PM,POINT (-87.729907 41.975461)
200,Jewel - Osco,1763 W Howard St,60626,OPEN,06/03/2020 05:00:00 PM,POINT (-87.674817 42.019397)
201,Market Fresh Finer Foods,800 N Kedzie Avenue,60651,OPEN,06/04/2020 03:00:00 PM,POINT (-87.70659 41.895992)
202,Happy Foods - Edison Park,6783 Northwest Highway,60631,OPEN,06/04/2020 03:00:00 PM,POINT (-87.818421 42.004199)
203,Jewel - Osco,3128 W 103rd St,60655,OPEN,06/03/2020 05:00:00 PM,POINT (-87.699375 41.706252)
204,Aldi,2828 N Central Ave,60634,OPEN,06/04/2020 03:00:00 PM,POINT (-87.766235 41.931987)
205,Aldi,5629 W Fillmore St,60644,OPEN,06/04/2020 03:00:00 PM,POINT (-87.766267 41.867428)
206,Woodlawn Super Fair LLC,6319 S VERNON AVE,60637,OPEN,06/10/2020 12:00:00 AM,POINT (-87.614421 41.779709)
207,Target,3204 N CLARK ST,60657,OPEN,06/10/2020 12:00:00 AM,POINT (-87.650766 41.940086)
208,Aldi,1739 W Cermak Rd,60608,OPEN,06/04/2020 03:00:00 PM,POINT (-87.670188 41.852282)
209,Aldi,1440 N Kostner Ave,60651,OPEN,06/04/2020 03:00:00 PM,POINT (-87.736287 41.907435)
210,Potash Markets,875 N State Street,60610,OPEN,06/04/2020 03:00:00 PM,POINT (-87.628297 41.898681)
211,Jewel - Osco,443 E 34th St,60616,OPEN,06/03/2020 05:00:00 PM,POINT (-87.614555 41.83312)
212,Seafood City Supermarket,5033 N ELSTON AVE,60630,OPEN,06/10/2020 12:00:00 AM,POINT (-87.746374 41.971936)
213,Target,2112 W Peterson Ave,60659,OPEN,06/10/2020 12:00:00 AM,POINT (-87.683199 41.990654)
214,Jewel - Osco,3400 N Western Ave,60618,OPEN,06/03/2020 05:00:00 PM,POINT (-87.688073 41.943389)
215,Walmart,4650 W North Ave,60639,CLOSED,06/10/2020 12:00:00 AM,POINT (-87.743003 41.909734)
216,Pete's Produce,1411 West 87th Street,60620,OPEN,06/04/2020 03:00:00 PM,POINT (-87.658721 41.73579600000001)
217,Whole Foods Market,1101 S Canal St Ste 107,60607,OPEN,06/04/2020 03:00:00 PM,POINT (-87.639224 41.868909)
